date,time,date.analyzed,Sample,Acid (N),Sample volume (mL),init.ph,init.vol.acid,final.ph,final.vol.acid,Total Alk (mg CaCO3/L),Total Alk (uM CaCO3),Total Alk (uEq/L),at.mol.L
08-30-2021,11:10:00,9/3/2021,1A,0.02,50,8.42,4.5,4.55,11.2,134,1340,2680,0.00268
08-30-2021,11:10:00,9/3/2021,1B,0.02,50,8.42,11.2,4.54,17.5,126,1260,2520,0.00252
08-30-2021,11:40:00,9/3/2021,2A,0.02,50,8.41,17.5,3.88,24,,,,
08-30-2021,11:40:00,9/3/2021,2B,0.02,50,8.4,24,4.48,30.5,130,1300,2600,0.0026
08-30-2021,12:20:00,9/3/2021,3a,0.02,50,8.38,30.5,4.5,36.7,124,1240,2480,0.00248
08-30-2021,12:20:00,9/3/2021,3b,0.02,50,8.39,36.7,4.52,42.8,122,1220,2440,0.00244
08-30-2021,12:45:00,9/3/2021,4a,0.02,50,8.44,42.8,4.19,49.2,,,,
08-30-2021,12:45:00,9/3/2021,4b,0.02,48,8.44,0.3,4.51,6.5,129.1666667,1291.666667,2583.333333,0.002583333
08-30-2021,13:15:00,9/3/2021,5a,0.02,50,8.38,6.5,4.52,12.8,126,1260,2520,0.00252
08-30-2021,13:15:00,9/3/2021,5b,0.02,50,8.38,12.8,4.58,19.6,136,1360,2720,0.00272
08-30-2021,14:00:00,9/3/2021,6a,0.02,50,8.45,19.6,4.49,26.5,138,1380,2760,0.00276
08-30-2021,14:00:00,9/3/2021,6b,0.02,50,8.42,26.5,4.56,32.7,124,1240,2480,0.00248
08-30-2021,14:20:00,9/3/2021,7a,0.02,50,8.43,32.7,3.7,39.7,,,,
08-30-2021,14:20:00,9/3/2021,7b,0.02,50,8.41,39.7,4.51,45.7,120,1200,2400,0.0024
08-30-2021,14:50:00,9/3/2021,8a,0.02,50,8.4,5.9,4.57,12.2,126,1260,2520,0.00252
08-30-2021,14:50:00,9/3/2021,8b,0.02,50,8.39,12.2,4.57,18.5,126,1260,2520,0.00252
08-31-2021,10:40:00,9/3/2021,9a,0.02,50,8.16,18.5,3.82,25.2,134,1340,2680,0.00268
08-31-2021,10:40:00,9/3/2021,9b,0.02,50,,,,,,,,
08-31-2021,11:10:00,9/3/2021,10a,0.02,50,8.29,25.2,4.41,31.5,126,1260,2520,0.00252
09-02-2021,11:10:00,9/3/2021,109,,,,,,,,,2639.52,0.00263952
09-02-2021,10:40:00,9/3/2021,104,,,,,,,,,2679.13,0.00267913
09-02-2021,12:45:00,9/3/2021,111,,,,,,,,,2629.26,0.00262926
09-02-2021,13:40:00,9/3/2021,112,,,,,,,,,2628.99,0.00262899
09-06-2021,11:05:00,9/14/2021,1,,,,,,,,,2689.51,0.00268951
09-06-2021,12:20:00,9/14/2021,2,,,,,,,,,2710.4,0.0027104
09-06-2021,13:10:00,9/14/2021,3,,,,,,,,,2690.6,0.0026906
09-06-2021,13:55:00,9/14/2021,4,,,,,,,,,2674.89,0.00267489
09-06-2021,15:30:00,9/14/2021,6,,,,,,,,,2696.29,0.00269629
09-07-2021,12:20:00,9/14/2021,8,,,,,,,,,2680.59,0.00268059
09-07-2021,13:55:00,9/14/2021,9,,,,,,,,,2632.59,0.00263259
09-09-2021,11:15:00,9/14/2021,11,,,,,,,,,2653.21,0.00265321
